id,values,seated
1,-43,0
2,-43,0
3,-39,0
4,-41,0
5,-41,0
6,-44,0
7,-41,0
8,-42,0
9,-44,0
10,-39,0
11,-41,0
12,-42,0
13,-42,0
14,-40,0
15,-41,0
16,-41,0
17,-43,0
18,-43,0
19,-40,0
20,-43,0
21,-44,0
22,-40,0
23,-42,0
24,-42,0
25,-43,0
26,-40,0
27,-41,0
28,-43,0
29,-39,0
30,-41,0
31,-43,0
32,-42,0
33,-40,0
34,-40,0
35,-43,0
36,-40,0
37,-41,0
38,-42,0
39,-40,0
40,-43,0
41,-43,0
42,-43,0
43,-41,0
44,-43,0
45,-40,0
46,-41,0
47,-41,0
48,-41,0
49,-43,0
50,-40,0
51,-41,0
52,-43,0
53,-42,0
54,-41,0
55,-43,0
56,-43,0
57,-43,0
58,-39,0
59,-44,0
60,-42,0
61,-41,0
62,-41,0
63,-43,0
64,-40,0
65,-41,0
66,-43,0
67,-43,0
68,-43,0
69,-42,0
70,-41,0
71,-43,0
72,-44,0
73,-41,0
74,-43,0
75,-43,0
76,-40,0
77,-41,0
78,-44,0
79,-40,0
80,-40,0
81,-44,0
82,-41,0
83,-43,0
84,-40,0
85,-43,0
86,-42,0
87,-44,0
88,-42,0
89,-42,0
90,-41,0
91,-43,0
92,-41,0
93,-43,0
94,-40,0
95,-42,0
96,-43,0
97,-43,0
98,-41,0
99,-41,0
100,-44,0
101,-42,0
102,-41,0
103,-41,0
104,-43,0
105,-41,0
106,-41,0
107,-41,0
108,-43,0
109,-43,0
110,-43,0
111,-42,0
112,-40,0
113,-41,0
114,-43,0
115,-43,0
116,-42,0
117,-41,0
118,-42,0
119,-43,0
120,-42,0
121,-40,0
122,-41,0
123,-43,0
124,-43,0
125,-39,0
126,-41,0
127,-42,0
128,-40,0
129,-41,0
130,-42,0
131,-43,0
132,-40,0
133,-41,0
134,-43,0
135,-43,0
136,-41,0
137,-44,0
138,-41,0
139,-40,0
140,-42,0
141,-42,0
142,-40,0
143,-41,0
144,-42,0
145,-42,0
146,-40,0
147,-44,0
148,-41,0
149,-39,0
150,-40,0
151,-41,0
152,-42,0
153,-39,0
154,-43,0
155,-40,0
156,-40,0
157,-41,0
158,-40,0
159,-42,0
160,-43,0
161,-41,0
162,-42,0
163,-42,0
164,-42,0
165,-41,0
166,-40,0
167,-40,0
168,-43,0
169,-42,0
170,-40,0
171,-41,0
172,-42,0
173,-43,0
174,-41,0
175,-41,0
176,-43,0
177,-44,0
178,-39,0
179,-41,0
180,-44,0
181,-43,0
182,-42,0
183,-41,0
184,-41,0
185,-40,0
186,-44,0
187,-40,0
188,-43,0
189,-41,0
190,-41,0
191,-41,0
192,-44,0
193,-39,0
194,-42,0
195,-41,0
196,-43,0
197,-41,0
198,-41,0
199,-41,0
200,-43,0
201,-42,0
202,-41,0
203,-40,0
204,-42,0
205,-43,0
206,-42,0
207,-42,0
208,-43,0
209,-44,0
210,-43,0
211,-41,0
212,-42,0
213,-42,0
214,-41,0
215,-39,0
216,-41,0
217,-43,0
218,-42,0
219,-41,0
220,-41,0
221,-43,0
222,-44,0
223,-40,0
224,-41,0
225,-42,0
226,-43,0
227,-40,0
228,-42,0
229,-43,0
230,-42,0
231,-41,0
232,-41,0
233,-42,0
234,-44,0
235,-40,0
236,-41,0
237,-43,0
238,-39,0
239,-42,0
240,-40,0
241,-41,0
242,-43,0
243,-39,0
244,-41,0
245,-42,0
246,-40,0
247,-42,0
248,-41,0
249,-41,0
250,-43,0
251,-42,0
252,-43,0
253,-41,0
254,-42,0
255,-43,0
256,-39,0
257,-42,0
258,-43,0
259,-44,0
260,-41,0
261,-42,0
262,-42,0
263,-40,0
264,-41,0
265,-43,0
266,-39,0
267,-42,0
268,-44,0
269,-43,0
270,-41,0
271,-39,0
272,-42,0
273,-44,0
274,-42,0
275,-41,0
276,-41,0
277,-43,0
278,-40,0
279,-40,0
280,-41,0
281,-41,0
282,-44,0
283,-40,0
284,-43,0
285,-41,0
286,-44,0
287,-40,0
288,-40,0
289,-42,0
290,-42,0
291,-40,0
292,-41,0
293,-40,0
294,-41,0
295,-43,0
296,-43,0
297,-41,0
298,-41,0
299,-40,0
300,-41,0
