id,values,seated
1,-47,0
2,-48,0
3,-46,0
4,-47,0
5,-48,0
6,-48,0
7,-47,0
8,-47,0
9,-47,0
10,-47,0
11,-49,0
12,-47,0
13,-47,0
14,-47,0
15,-46,0
16,-47,0
17,-46,0
18,-47,0
19,-46,0
20,-47,0
21,-47,0
22,-47,0
23,-48,0
24,-48,0
25,-47,0
26,-46,0
27,-47,0
28,-47,0
29,-46,0
30,-47,0
31,-48,0
32,-49,0
33,-48,0
34,-47,0
35,-48,0
36,-47,0
37,-46,0
38,-47,0
39,-47,0
40,-47,0
41,-48,0
42,-48,0
43,-46,0
44,-46,0
45,-47,0
46,-48,0
47,-47,0
48,-48,0
49,-47,0
50,-47,0
51,-47,0
52,-47,0
53,-48,0
54,-48,0
55,-47,0
56,-47,0
57,-46,0
58,-47,0
59,-47,0
60,-47,0
61,-47,0
62,-47,0
63,-47,0
64,-47,0
65,-47,0
66,-47,0
67,-47,0
68,-48,0
69,-46,0
70,-47,0
71,-48,0
72,-48,0
73,-47,0
74,-49,0
75,-47,0
76,-48,0
77,-49,0
78,-47,0
79,-46,0
80,-45,0
81,-47,0
82,-48,0
83,-48,0
84,-47,0
85,-48,0
86,-47,0
87,-46,0
88,-48,0
89,-46,0
90,-46,0
91,-47,0
92,-48,0
93,-48,0
94,-48,0
95,-47,0
96,-46,0
97,-47,0
98,-47,0
99,-46,0
100,-47,0
101,-47,0
102,-48,0
103,-48,0
104,-48,0
105,-47,0
106,-48,0
107,-48,0
108,-47,0
109,-46,0
110,-46,0
111,-48,0
112,-52,0
113,-50,0
114,-49,0
115,-50,0
116,-51,0
117,-50,0
118,-50,0
119,-51,0
120,-49,0
121,-51,0
122,-51,0
123,-50,0
124,-51,0
125,-51,0
126,-49,0
127,-49,0
128,-49,0
129,-48,0
130,-48,0
131,-47,0
132,-47,0
133,-47,0
134,-48,0
135,-47,0
136,-48,0
137,-49,0
138,-48,0
139,-47,0
140,-48,0
141,-47,0
142,-47,0
143,-47,0
144,-47,0
145,-47,0
146,-48,0
147,-48,0
148,-47,0
149,-48,0
150,-48,0
151,-55,1
152,-54,1
153,-52,1
154,-52,1
155,-52,1
156,-53,1
157,-50,1
158,-53,1
159,-53,1
160,-54,1
161,-51,1
162,-51,1
163,-52,1
164,-52,1
165,-52,1
166,-52,1
167,-54,1
168,-50,1
169,-51,1
170,-52,1
171,-57,1
172,-53,1
173,-53,1
174,-54,1
175,-55,1
176,-54,1
177,-55,1
178,-55,1
179,-56,1
180,-53,1
181,-55,1
182,-50,1
183,-55,1
184,-55,1
185,-55,1
186,-52,1
187,-51,1
188,-52,1
189,-53,1
190,-52,1
191,-53,1
192,-53,1
193,-53,1
194,-53,1
195,-52,1
196,-55,1
197,-54,1
198,-54,1
199,-55,1
200,-49,1
201,-55,1
202,-50,1
203,-49,1
204,-50,1
205,-52,1
206,-52,1
207,-53,1
208,-53,1
209,-55,1
210,-54,1
211,-56,1
212,-48,1
213,-50,1
214,-51,1
215,-53,1
216,-52,1
217,-52,1
218,-54,1
219,-53,1
220,-54,1
221,-54,1
222,-54,1
223,-55,1
224,-54,1
225,-55,1
226,-49,1
227,-50,1
228,-50,1
229,-51,1
230,-51,1
231,-53,1
232,-53,1
233,-53,1
234,-56,1
235,-55,1
236,-51,1
237,-50,1
238,-51,1
239,-53,1
240,-53,1
241,-52,1
242,-53,1
243,-55,1
244,-54,1
245,-55,1
246,-55,1
247,-54,1
248,-50,1
249,-50,1
250,-53,1
251,-53,1
252,-53,1
253,-54,1
254,-50,1
255,-55,1
256,-49,1
257,-49,1
258,-50,1
259,-50,1
260,-52,1
261,-54,1
262,-55,1
263,-55,1
264,-55,1
265,-54,1
266,-55,1
267,-49,1
268,-50,1
269,-52,1
270,-51,1
271,-53,1
272,-51,1
273,-54,1
274,-53,1
275,-53,1
276,-55,1
277,-56,1
278,-55,1
279,-54,1
280,-56,1
281,-50,1
282,-53,1
283,-53,1
284,-53,1
285,-54,1
286,-54,1
287,-54,1
288,-55,1
289,-49,1
290,-49,1
291,-50,1
292,-52,1
293,-52,1
294,-52,1
295,-53,1
296,-53,1
297,-54,1
298,-54,1
299,-53,1
300,-55,1
301,-49,0
302,-48,0
303,-48,0
304,-48,0
305,-47,0
306,-47,0
307,-48,0
308,-47,0
309,-49,0
310,-49,0
311,-48,0
312,-48,0
313,-48,0
314,-47,0
315,-48,0
316,-47,0
317,-46,0
318,-48,0
319,-46,0
320,-48,0
321,-48,0
322,-49,0
323,-48,0
324,-49,0
325,-48,0
326,-48,0
327,-46,0
328,-48,0
329,-49,0
330,-48,0
331,-48,0
332,-49,0
333,-48,0
334,-48,0
335,-47,0
336,-47,0
337,-48,0
338,-48,0
339,-48,0
340,-48,0
341,-48,0
342,-46,0
343,-47,0
344,-47,0
345,-48,0
346,-48,0
347,-49,0
348,-49,0
349,-47,0
350,-46,0
351,-47,0
352,-48,0
353,-48,0
354,-47,0
355,-47,0
356,-47,0
357,-49,0
358,-50,0
359,-48,0
360,-49,0
361,-47,0
362,-47,0
363,-49,0
364,-48,0
365,-49,0
366,-47,0
367,-47,0
368,-47,0
369,-48,0
370,-46,0
371,-48,0
372,-47,0
373,-47,0
374,-47,0
375,-47,0
376,-47,0
377,-48,0
378,-47,0
379,-48,0
380,-47,0
381,-46,0
382,-48,0
383,-49,0
384,-48,0
385,-47,0
386,-47,0
387,-48,0
388,-48,0
389,-48,0
390,-49,0
391,-49,0
392,-47,0
393,-49,0
394,-47,0
395,-47,0
396,-47,0
397,-47,0
398,-49,0
399,-47,0
400,-49,0
401,-47,0
402,-48,0
403,-46,0
404,-47,0
405,-46,0
406,-47,0
407,-48,0
408,-48,0
409,-48,0
410,-48,0
411,-47,0
412,-48,0
413,-47,0
414,-49,0
415,-47,0
416,-47,0
417,-47,0
418,-47,0
419,-48,0
420,-49,0
421,-47,0
422,-47,0
423,-47,0
424,-48,0
425,-48,0
426,-49,0
427,-49,0
428,-49,0
429,-47,0
430,-48,0
431,-48,0
432,-46,0
433,-48,0
434,-49,0
435,-47,0
436,-49,0
437,-47,0
438,-48,0
439,-48,0
440,-48,0
441,-47,0
442,-49,0
443,-48,0
444,-49,0
445,-47,0
446,-48,0
447,-47,0
448,-48,0
449,-50,0
450,-49,0
451,-57,1
452,-57,1
453,-56,1
454,-56,1
455,-56,1
456,-56,1
457,-54,1
458,-56,1
459,-56,1
460,-58,1
461,-57,1
462,-58,1
463,-57,1
464,-58,1
465,-57,1
466,-58,1
467,-59,1
468,-59,1
469,-59,1
470,-60,1
471,-58,1
472,-58,1
473,-57,1
474,-57,1
475,-57,1
476,-58,1
477,-58,1
478,-57,1
479,-57,1
480,-58,1
481,-60,1
482,-57,1
483,-60,1
484,-58,1
485,-57,1
486,-58,1
487,-57,1
488,-58,1
489,-58,1
490,-58,1
491,-58,1
492,-61,1
493,-58,1
494,-60,1
495,-56,1
496,-58,1
497,-58,1
498,-57,1
499,-59,1
500,-59,1
501,-57,1
502,-58,1
503,-57,1
504,-58,1
505,-57,1
506,-56,1
507,-57,1
508,-57,1
509,-57,1
510,-56,1
511,-57,1
512,-57,1
513,-57,1
514,-57,1
515,-57,1
516,-57,1
517,-56,1
518,-57,1
519,-55,1
520,-55,1
521,-56,1
522,-56,1
523,-56,1
524,-56,1
525,-57,1
526,-56,1
527,-56,1
528,-57,1
529,-56,1
530,-57,1
531,-57,1
532,-56,1
533,-58,1
534,-57,1
535,-57,1
536,-55,1
537,-57,1
538,-56,1
539,-55,1
540,-55,1
541,-57,1
542,-56,1
543,-56,1
544,-56,1
545,-56,1
546,-58,1
547,-57,1
548,-57,1
549,-57,1
550,-55,1
551,-57,1
552,-56,1
553,-56,1
554,-57,1
555,-57,1
556,-57,1
557,-55,1
558,-57,1
559,-56,1
560,-57,1
561,-56,1
562,-57,1
563,-56,1
564,-57,1
565,-57,1
566,-57,1
567,-57,1
568,-57,1
569,-58,1
570,-57,1
571,-56,1
572,-55,1
573,-55,1
574,-56,1
575,-56,1
576,-58,1
577,-58,1
578,-58,1
579,-57,1
580,-55,1
581,-56,1
582,-55,1
583,-56,1
584,-57,1
585,-56,1
586,-56,1
587,-56,1
588,-58,1
589,-56,1
590,-55,1
591,-56,1
592,-55,1
593,-56,1
594,-57,1
595,-56,1
596,-56,1
597,-54,1
598,-56,1
599,-56,1
600,-56,1
