id,values,seated
1,-42,0
2,-41,0
3,-42,0
4,-43,0
5,-43,0
6,-40,0
7,-42,0
8,-43,0
9,-43,0
10,-42,0
11,-41,0
12,-41,0
13,-44,0
14,-43,0
15,-41,0
16,-41,0
17,-43,0
18,-44,0
19,-42,0
20,-40,0
21,-41,0
22,-43,0
23,-40,0
24,-41,0
25,-42,0
26,-40,0
27,-41,0
28,-43,0
29,-41,0
30,-41,0
31,-41,0
32,-40,0
33,-42,0
34,-41,0
35,-43,0
36,-40,0
37,-41,0
38,-41,0
39,-43,0
40,-39,0
41,-41,0
42,-40,0
43,-43,0
44,-41,0
45,-41,0
46,-43,0
47,-40,0
48,-42,0
49,-41,0
50,-41,0
51,-44,0
52,-44,0
53,-44,0
54,-40,0
55,-43,0
56,-39,0
57,-42,0
58,-42,0
59,-42,0
60,-42,0
61,-40,0
62,-41,0
63,-43,0
64,-40,0
65,-41,0
66,-41,0
67,-41,0
68,-42,0
69,-42,0
70,-40,0
71,-41,0
72,-43,0
73,-43,0
74,-42,0
75,-41,0
76,-41,0
77,-43,0
78,-44,0
79,-41,0
80,-43,0
81,-43,0
82,-41,0
83,-44,0
84,-41,0
85,-41,0
86,-42,0
87,-40,0
88,-40,0
89,-41,0
90,-43,0
91,-42,0
92,-42,0
93,-41,0
94,-41,0
95,-43,0
96,-42,0
97,-40,0
98,-44,0
99,-43,0
100,-40,0
101,-42,0
102,-41,0
103,-40,0
104,-57,1
105,-56,1
106,-55,1
107,-57,1
108,-54,1
109,-53,1
110,-53,1
111,-55,1
112,-52,1
113,-53,1
114,-54,1
115,-57,1
116,-54,1
117,-57,1
118,-57,1
119,-55,1
120,-53,1
121,-54,1
122,-54,1
123,-56,1
124,-52,1
125,-54,1
126,-54,1
127,-56,1
128,-52,1
129,-57,1
130,-53,1
131,-54,1
132,-55,1
133,-41,0
134,-43,0
135,-41,0
136,-42,0
137,-43,0
138,-40,0
139,-40,0
140,-41,0
141,-40,0
142,-42,0
143,-43,0
144,-44,0
145,-41,0
146,-41,0
147,-39,0
148,-41,0
149,-42,0
150,-42,0
151,-40,0
152,-42,0
153,-39,0
154,-42,0
155,-41,0
156,-42,0
157,-41,0
158,-42,0
159,-43,0
160,-41,0
161,-42,0
162,-40,0
163,-43,0
164,-41,0
165,-43,0
166,-41,0
167,-43,0
168,-43,0
169,-40,0
170,-41,0
171,-43,0
172,-40,0
173,-41,0
174,-39,0
175,-42,0
176,-41,0
177,-41,0
178,-39,0
179,-41,0
180,-42,0
181,-43,0
182,-42,0
183,-42,0
184,-42,0
185,-42,0
186,-43,0
187,-40,0
188,-41,0
189,-41,0
190,-43,0
191,-43,0
192,-41,0
193,-41,0
194,-42,0
195,-43,0
196,-42,0
197,-43,0
198,-41,0
199,-42,0
200,-43,0
201,-41,0
202,-43,0
203,-41,0
204,-42,0
205,-40,0
206,-44,0
207,-41,0
208,-42,0
209,-42,0
210,-41,0
211,-41,0
212,-43,0
213,-39,0
214,-41,0
215,-42,0
216,-43,0
217,-40,0
218,-42,0
219,-41,0
220,-41,0
221,-42,0
222,-41,0
223,-41,0
224,-41,0
225,-42,0
226,-42,0
227,-42,0
228,-41,0
229,-42,0
230,-42,0
231,-39,0
232,-40,0
233,-41,0
234,-43,0
235,-43,0
236,-40,0
237,-41,0
238,-40,0
239,-53,1
240,-55,1
241,-52,1
242,-53,1
243,-57,1
244,-55,1
245,-52,1
246,-54,1
247,-55,1
248,-57,1
249,-53,1
250,-54,1
251,-56,1
252,-52,1
253,-58,1
254,-54,1
255,-55,1
256,-56,1
257,-53,1
258,-54,1
259,-56,1
260,-51,1
261,-54,1
262,-55,1
263,-52,1
264,-57,1
265,-53,1
266,-53,1
267,-53,1
268,-54,1
269,-40,0
270,-42,0
271,-43,0
272,-41,0
273,-40,0
274,-42,0
275,-40,0
276,-43,0
277,-41,0
278,-41,0
279,-41,0
280,-39,0
281,-41,0
282,-41,0
283,-41,0
284,-41,0
285,-42,0
286,-42,0
287,-42,0
288,-43,0
289,-41,0
290,-43,0
291,-40,0
292,-41,0
293,-41,0
294,-43,0
295,-41,0
296,-43,0
297,-43,0
298,-40,0
299,-42,0
300,-40,0
301,-43,0
302,-40,0
303,-43,0
304,-41,0
305,-42,0
306,-41,0
307,-43,0
308,-40,0
309,-41,0
310,-51,1
311,-51,1
312,-56,1
313,-56,1
314,-56,1
315,-54,1
316,-55,1
317,-56,1
318,-53,1
319,-54,1
320,-57,1
321,-53,1
322,-54,1
323,-57,1
324,-52,1
325,-53,1
326,-55,1
327,-54,1
328,-57,1
329,-57,1
330,-54,1
331,-54,1
332,-54,1
333,-57,1
334,-52,1
335,-54,1
336,-56,1
337,-58,1
338,-53,1
339,-55,1
340,-56,1
341,-56,1
342,-54,1
343,-57,1
344,-54,1
345,-54,1
346,-55,1
347,-56,1
348,-53,1
349,-57,1
350,-54,1
351,-54,1
352,-56,1
353,-54,1
354,-54,1
355,-54,1
356,-56,1
357,-55,1
358,-54,1
359,-55,1
360,-55,1
361,-55,1
362,-55,1
363,-52,1
364,-53,1
365,-56,1
366,-53,1
367,-52,1
368,-54,1
369,-54,1
370,-55,1
371,-53,1
372,-55,1
373,-56,1
374,-52,1
375,-53,1
376,-55,1
377,-55,1
378,-56,1
379,-53,1
380,-52,1
381,-54,1
382,-55,1
383,-52,1
384,-59,1
385,-53,1
386,-55,1
387,-55,1
388,-56,1
389,-56,1
390,-57,1
391,-53,1
392,-54,1
393,-56,1
394,-53,1
395,-55,1
396,-57,1
397,-55,1
398,-58,1
399,-55,1
400,-57,1
401,-54,1
402,-53,1
403,-53,1
404,-55,1
405,-54,1
406,-56,1
407,-53,1
408,-55,1
409,-54,1
410,-55,1
411,-57,1
412,-54,1
413,-55,1
414,-53,1
415,-55,1
416,-53,1
417,-54,1
418,-53,1
419,-54,1
420,-56,1
421,-52,1
422,-54,1
423,-55,1
424,-58,1
425,-54,1
426,-54,1
427,-57,1
428,-55,1
429,-54,1
430,-54,1
431,-56,1
432,-58,1
433,-54,1
434,-54,1
435,-57,1
436,-52,1
437,-53,1
438,-55,1
439,-54,1
440,-57,1
441,-57,1
442,-52,1
443,-55,1
444,-54,1
445,-54,1
446,-57,1
447,-52,1
448,-54,1
449,-57,1
450,-55,1
451,-55,1
452,-54,1
453,-54,1
454,-56,1
455,-54,1
456,-54,1
457,-57,1
458,-55,1
459,-58,1
460,-55,1
461,-54,1
462,-57,1
463,-54,1
464,-54,1
465,-56,1
466,-53,1
467,-58,1
468,-52,1
469,-52,1
470,-55,1
471,-54,1
472,-55,1
473,-57,1
474,-55,1
475,-54,1
476,-53,1
477,-53,1
478,-56,1
479,-53,1
480,-58,1
481,-54,1
482,-54,1
483,-56,1
484,-53,1
485,-53,1
486,-56,1
487,-55,1
488,-57,1
489,-53,1
490,-54,1
491,-56,1
492,-55,1
493,-53,1
494,-55,1
495,-54,1
496,-55,1
497,-57,1
498,-53,1
499,-54,1
500,-55,1
501,-40,0
502,-42,0
503,-43,0
504,-41,0
505,-40,0
506,-42,0
507,-43,0
508,-43,0
509,-39,0
510,-41,0
511,-43,0
512,-43,0
513,-39,0
514,-42,0
515,-44,0
516,-43,0
517,-40,0
518,-43,0
519,-41,0
520,-42,0
521,-42,0
522,-40,0
523,-43,0
524,-41,0
525,-42,0
526,-42,0
527,-42,0
528,-41,0
529,-43,0
530,-40,0
531,-44,0
532,-41,0
533,-41,0
534,-42,0
535,-41,0
536,-41,0
537,-41,0
538,-44,0
539,-43,0
540,-41,0
541,-41,0
542,-43,0
543,-42,0
544,-39,0
545,-43,0
546,-39,0
547,-42,0
548,-44,0
549,-43,0
550,-42,0
551,-41,0
552,-42,0
553,-43,0
554,-43,0
555,-43,0
556,-41,0
557,-40,0
558,-43,0
559,-43,0
560,-42,0
561,-42,0
562,-41,0
563,-43,0
564,-44,0
565,-41,0
566,-41,0
567,-43,0
568,-42,0
569,-41,0
570,-43,0
571,-40,0
572,-41,0
573,-43,0
574,-43,0
575,-41,0
576,-41,0
577,-43,0
578,-41,0
579,-44,0
580,-43,0
581,-41,0
582,-42,0
583,-44,0
584,-39,0
585,-44,0
586,-39,0
587,-41,0
588,-42,0
589,-43,0
590,-40,0
591,-43,0
592,-43,0
593,-43,0
594,-41,0
595,-41,0
596,-42,0
597,-41,0
598,-40,0
599,-43,0
600,-40,0
601,-41,0
602,-43,0
603,-43,0
604,-40,0
605,-41,0
606,-42,0
607,-43,0
608,-41,0
609,-42,0
610,-42,0
611,-40,0
612,-42,0
613,-41,0
614,-42,0
615,-44,0
616,-43,0
617,-41,0
618,-40,0
619,-41,0
620,-42,0
621,-43,0
622,-41,0
623,-42,0
624,-42,0
625,-42,0
626,-43,0
627,-40,0
628,-41,0
629,-43,0
630,-41,0
631,-41,0
632,-43,0
633,-40,0
634,-41,0
635,-41,0
636,-42,0
637,-44,0
638,-43,0
639,-40,0
640,-42,0
641,-44,0
642,-43,0
643,-41,0
644,-43,0
645,-43,0
646,-40,0
647,-44,0
648,-41,0
649,-44,0
650,-43,0
651,-43,0
652,-40,0
653,-42,0
654,-43,0
655,-40,0
656,-42,0
657,-43,0
658,-42,0
659,-42,0
660,-43,0
661,-41,0
662,-41,0
663,-43,0
664,-41,0
665,-43,0
666,-40,0
667,-41,0
668,-42,0
669,-41,0
670,-41,0
671,-43,0
672,-40,0
673,-43,0
674,-41,0
675,-41,0
676,-42,0
677,-42,0
678,-42,0
679,-42,0
680,-41,0
681,-41,0
682,-40,0
683,-43,0
684,-43,0
685,-41,0
686,-43,0
687,-40,0
688,-43,0
689,-39,0
690,-41,0
691,-44,0
692,-41,0
693,-40,0
694,-42,0
695,-42,0
696,-41,0
697,-42,0
698,-42,0
699,-39,0
700,-41,0
701,-44,0
702,-40,0
703,-42,0
704,-40,0
705,-40,0
706,-43,0
707,-41,0
708,-43,0
709,-41,0
710,-43,0
711,-44,0
712,-42,0
713,-43,0
714,-40,0
715,-41,0
716,-42,0
717,-43,0
718,-40,0
719,-41,0
720,-41,0
721,-43,0
