id,values,seated
1,-41,0
2,-39,0
3,-42,0
4,-42,0
5,-44,0
6,-45,0
7,-46,0
8,-50,0
9,-48,0
10,-46,0
11,-49,0
12,-50,0
13,-48,0
14,-49,0
15,-49,0
16,-45,0
17,-49,0
18,-48,0
19,-49,0
20,-49,0
21,-43,0
22,-49,0
23,-45,0
24,-49,0
25,-49,0
26,-48,0
27,-105,0
28,-49,0
29,-47,0
30,-46,0
31,-50,0
32,-49,0
33,-50,0
34,-48,0
35,-45,0
36,-46,0
37,-50,0
38,-49,0
39,-46,0
40,-49,0
41,-49,0
42,-46,0
43,-50,0
44,-49,0
45,-50,0
46,-49,0
47,-48,0
48,-50,0
49,-49,0
50,-48,0
51,-40,0
52,-40,0
53,-42,0
54,-43,0
55,-42,0
56,-40,0
57,-41,0
58,-42,0
59,-40,0
60,-42,0
61,-39,0
62,-43,0
63,-41,0
64,-42,0
65,-40,0
66,-42,0
67,-40,0
68,-41,0
69,-41,0
70,-42,0
71,-42,0
72,-41,0
73,-43,0
74,-42,0
75,-41,0
76,-43,0
77,-41,0
78,-41,0
79,-40,0
80,-41,0
81,-42,0
82,-42,0
83,-41,0
84,-41,0
85,-41,0
86,-42,0
87,-43,0
88,-42,0
89,-41,0
90,-41,0
91,-43,0
92,-41,0
93,-43,0
94,-40,0
95,-42,0
96,-42,0
97,-42,0
98,-40,0
99,-42,0
100,-42,0
101,-41,0
102,-42,0
103,-40,0
104,-42,0
105,-42,0
106,-41,0
107,-41,0
108,-42,0
109,-42,0
110,-41,0
111,-41,0
112,-42,0
113,-57,1
114,-68,1
115,-59,1
116,-59,1
117,-59,1
118,-56,1
119,-56,1
120,-56,1
121,-55,1
122,-57,1
123,-59,1
124,-60,1
125,-54,1
126,-60,1
127,-61,1
128,-56,1
129,-58,1
130,-56,1
131,-60,1
132,-59,1
133,-56,1
134,-55,1
135,-61,1
136,-57,1
137,-54,1
138,-61,1
139,-57,1
140,-56,1
141,-54,1
142,-60,1
143,-58,1
144,-56,1
145,-61,1
146,-62,1
147,-58,1
148,-60,1
149,-59,1
150,-59,1
151,-60,1
152,-71,1
153,-63,1
154,-59,1
155,-58,1
156,-70,1
157,-60,1
158,-66,1
159,-61,1
160,-58,1
161,-57,1
162,-64,1
163,-60,1
164,-57,1
165,-70,1
166,-69,1
167,-72,1
168,-57,1
169,-71,1
170,-64,1
171,-61,1
172,-61,1
173,-59,1
174,-57,1
175,-106,1
176,-59,1
177,-57,1
178,-57,1
179,-58,1
180,-68,1
181,-59,1
182,-58,1
183,-58,1
184,-58,1
185,-60,1
186,-57,1
187,-57,1
188,-54,1
189,-57,1
190,-55,1
191,-57,1
192,-57,1
193,-59,1
194,-57,1
195,-55,1
196,-54,1
197,-54,1
198,-60,1
199,-57,1
200,-57,1
201,-60,1
202,-59,1
203,-58,1
204,-55,1
205,-59,1
206,-57,1
207,-55,1
208,-60,1
209,-59,1
210,-56,1
211,-54,1
212,-61,1
213,-58,1
214,-56,1
215,-61,1
216,-59,1
217,-57,1
218,-60,1
219,-60,1
220,-57,1
221,-58,1
222,-57,1
223,-56,1
224,-61,1
225,-60,1
226,-57,1
227,-55,1
228,-57,1
229,-57,1
230,-55,1
231,-60,1
232,-58,1
233,-42,0
234,-42,0
235,-41,0
236,-42,0
237,-42,0
238,-41,0
239,-41,0
240,-41,0
241,-40,0
242,-41,0
243,-40,0
244,-43,0
245,-43,0
246,-42,0
247,-42,0
248,-42,0
249,-42,0
250,-41,0
251,-42,0
252,-41,0
253,-40,0
254,-40,0
255,-42,0
256,-40,0
257,-39,0
258,-41,0
259,-41,0
260,-41,0
261,-43,0
262,-43,0
263,-41,0
264,-42,0
265,-42,0
266,-43,0
267,-41,0
268,-39,0
269,-42,0
270,-42,0
271,-41,0
272,-40,0
273,-41,0
274,-41,0
275,-43,0
276,-42,0
277,-41,0
278,-40,0
279,-42,0
280,-41,0
281,-42,0
282,-43,0
283,-40,0
284,-41,0
285,-42,0
286,-42,0
287,-42,0
288,-40,0
289,-47,0
290,-32,0
291,-53,0
292,-51,0
293,-51,0
294,-51,0
295,-49,0
296,-52,0
297,-49,0
298,-50,0
299,-50,0
300,-47,0
301,-51,0
302,-51,0
303,-52,0
304,-52,0
305,-48,0
306,-51,0
307,-51,0
308,-52,0
309,-50,0
310,-52,0
311,-52,0
312,-48,0
313,-53,0
314,-51,0
315,-51,0
316,-52,0
317,-53,0
318,-51,0
319,-50,0
320,-48,0
321,-52,0
322,-50,0
323,-52,0
324,-52,0
325,-52,0
326,-52,0
327,-51,0
328,-48,0
329,-52,0
330,-51,0
331,-49,0
332,-47,0
333,-48,0
334,-51,0
335,-48,0
336,-53,0
337,-52,0
338,-51,0
339,-48,0
340,-52,0
341,-52,0
342,-46,0
343,-52,0
344,-52,0
345,-52,0
346,-53,0
347,-49,0
348,-53,0
349,-52,0
350,-52,0
351,-48,0
352,-49,0
353,-42,1
354,-56,1
355,-59,1
356,-57,1
357,-67,1
358,-65,1
359,-61,1
360,-56,1
361,-58,1
362,-64,1
363,-79,1
364,-68,1
365,-68,1
366,-66,1
367,-58,1
368,-56,1
369,-63,1
370,-63,1
371,-58,1
372,-54,1
373,-59,1
374,-56,1
375,-53,1
376,-54,1
377,-63,1
378,-58,1
379,-57,1
380,-53,1
381,-62,1
382,-58,1
383,-55,1
384,-53,1
385,-60,1
386,-57,1
387,-55,1
388,-55,1
389,-58,1
390,-54,1
391,-64,1
392,-59,1
393,-57,1
394,-54,1
395,-62,1
396,-57,1
397,-56,1
398,-54,1
399,-57,1
400,-56,1
401,-54,1
402,-56,1
403,-52,1
404,-56,1
405,-56,1
406,-66,1
407,-60,1
408,-56,1
409,-55,1
410,-64,1
411,-57,1
412,-55,1
413,-57,1
414,-57,1
415,-54,1
416,-54,1
417,-53,1
418,-63,1
419,-56,1
420,-53,1
421,-62,1
422,-64,1
423,-60,1
424,-58,1
425,-55,1
426,-57,1
427,-56,1
428,-53,1
429,-57,1
430,-56,1
431,-58,1
432,-58,1
433,-55,1
434,-64,1
435,-58,1
436,-55,1
437,-54,1
438,-57,1
439,-56,1
440,-58,1
441,-54,1
442,-63,1
443,-62,1
444,-55,1
445,-55,1
446,-58,1
447,-58,1
448,-59,1
449,-63,1
450,-55,1
451,-55,1
452,-64,1
453,-53,1
454,-60,1
455,-57,1
456,-55,1
457,-60,1
458,-57,1
459,-58,1
460,-55,1
461,-54,1
462,-64,1
463,-57,1
464,-55,1
465,-64,1
466,-58,1
467,-56,1
468,-53,1
469,-64,1
470,-57,1
471,-57,1
472,-54,1
473,-41,0
474,-41,0
475,-43,0
476,-42,0
477,-40,0
478,-42,0
479,-42,0
480,-42,0
